"Date","Open","High","Low","Close","high - low %","open-close %","EMA diff %","low - fast ema %","high-fast ema %","close below last day","EMA appreciation %"
"8/2/2019","8056.42","8068.8","7953.67","8004.07","1.45%","-0.65%","0.25%","-2.77%","-1.36%","1","-0.43%"
"8/5/2019","7823.33","7836.45","7662.9","7726.04","2.26%","-1.24%","-0.22%","-5.45%","-3.31%","1","-0.93%"
"8/6/2019","7804.51","7845.01","7739.57","7833.27","1.36%","0.37%","-0.47%","-3.97%","-2.66%","","-0.56%"
"8/7/2019","7747.27","7881.38","7702.42","7862.83","2.32%","1.49%","-0.62%","-4.04%","-1.81%","","-0.41%"
"8/8/2019","7921.59","8041.12","7896.15","8039.16","1.84%","1.48%","-0.56%","-1.65%","0.15%","","0.03%"
"8/9/2019","7997.19","8020.56","7910.35","7959.14","1.39%","-0.48%","-0.58%","-1.33%","0.04%","1","-0.14%"
"8/12/2019","7907.49","7924.99","7833.79","7863.41","1.16%","-0.56%","-0.68%","-1.97%","-0.83%","1","-0.32%"
"8/13/2019","7852.37","8065.24","7851.58","8016.36","2.72%","2.09%","-0.60%","-1.80%","0.87%","","0.05%"
"8/14/2019","7877.33","7900.28","7762.87","7773.94","1.77%","-1.31%","-0.77%","-2.46%","-0.73%","1","-0.46%"
"8/15/2019","7790.2","7805.93","7716.55","7766.62","1.16%","-0.30%","-0.90%","-2.65%","-1.52%","1","-0.40%"
"8/16/2019","7828.35","7907.52","7828.35","7895.99","1.01%","0.86%","-0.85%","-1.18%","-0.18%","","-0.06%"
"8/19/2019","8006.18","8026.75","7895.99","8002.81","1.66%","-0.04%","-0.70%","-0.49%","1.15%","","0.17%"
"8/20/2019","7989.36","8010.58","7948.09","7948.56","0.79%","-0.51%","-0.62%","0.14%","0.92%","1","0.03%"
"8/21/2019","8017.07","8036.94","7998.5","8020.21","0.48%","0.04%","-0.48%","0.60%","1.08%","","0.17%"
"8/22/2019","8038.79","8048.58","7937.12","7991.39","1.40%","-0.59%","-0.40%","-0.26%","1.14%","1","0.08%"
"8/23/2019","7943.65","8005.34","7730.77","7751.77","3.55%","-2.42%","-0.57%","-2.43%","1.03%","1","-0.43%"
"8/26/2019","7829.58","7856.04","7789.05","7853.74","0.86%","0.31%","-0.60%","-1.55%","-0.71%","","-0.15%"
"8/27/2019","7908.78","7916.83","7795.18","7826.95","1.56%","-1.03%","-0.63%","-1.30%","0.24%","1","-0.18%"
